English,Turkish
abrasive disk,zımpara taşı
abrasive machining,aşındırma ile talaş kaldırma
acceptance sampling,kabul için örnek alma
accessory,"aksesuar, yardımcı teçhizat"
accuracy,"hassasiyet, doğruluk"
acetylene gas,asetilen gazı
acorn nut,"tırtıllı somun, taçlı somun"
actuator,uyarıcı
adapter,adaptör (ara rakor; birbirinden ayrı cins iki dişli ucu birleştiren ara parça)
addendum,diş ucu (dişlide)
adhesion,"tutma, adezyon"
adhesive joining,yapıştırma yolu ile birleştirme
adjustment,ayarlama
age hardening,yaşlandırarak sertleştirme
air furnace,hava fırını
allen screw,alyen vida; altı köşeli gömme başlı vida
"allen wrench","alyen anahtar, gömme anahtar, altı-köşe ""L"" şeklinde anahtar"
allotropic changes,"allotropik değişme, eşözdek değişimi"
allowance,"pay, tolerans"
alloy,alaşım
anchor bolt,"tesbit civatası, ankraj bulonu"
angle,"köşebent demiri, köşebent, korniye; açı"
angle milling cutter,"açı frezesi, konik freze bıçağı"
annealing,"normalleştirme tavı, menevişleme"
annular gear,içten dişli
anodizing,"anotlama, anotsal işlem, anotlama usulü ile oksitleme"
anvil,örs
apparatus,"cihaz, aygıt, alet"
apron,araba önlüğü
arbor,malafa
arch press,kemerli pres
arc spot welding,arklı nokta kaynağı
artificial aging,suni yaşlanma
assemble,monte etmek
assembly,"takım; birkaç parçadan meydana gelen parça grubu; komple, montaj"
attachment,"yardımcı teçhizat, ataşman"
austempering,ösmenevişleme
austenite,östenit
automatic screw machine,index tezgahı
axial,eksenel
bainite,"bainit, alçak derecede sulanmış çelik"
bakalite,bakalit
band sawing machine,şerit testere
barrel finishing,dolaplama
base,"taban, kaide, temel"
base circle,diş dibi dairesi (dişlide)
batch production,küme üretimi
batch size,küme büyüklüğü
batch furnace,yığım fırını
beam,kiriş
I-beam,"I profilli demir, I-kirişi"
U-beam,"U profilli demir, U-kirişi"
bearing,"yatak, rulman"
ball-bearing,bilyalı rulman
needle bearing,iğneli rulman
roller bearing,makaralı yatak
tapered roller bearing,konik makaralı yatak
bearing cone,"yatak göbeği, iç yatak"
bearing cup,"rulmanların dış çemberi, yatak kabı"
bellows,"körük, körük biçiminde"
belt,kayış
belt polishing,kayışlı parlatma
bench lathe,"masa tornası, saatçi tornası"
bench molding,tezgah kalıplaması
bending,"bükme, eğme"
bentonite,yumuşak balçık
bessemer converter,bessemer potası
bevel gear,konik dişli
bevel protractor,dereceli gönye
bilateral,çift yönlü
billet,"bilet, ham demir çubuk"
bit,"uç, matkap ucu, kalem ucu"
blast furnace,yüksek fırın
blister copper,saf bakır
bloom,demir kütüğü
blow molding,hava basınçlı kalıplama
bluing,menevişleme
board hammer,tahtalı şahmerdan
bolt,civata
bonding,"yapıştırma, bağlama"
boring machine,"oyma tezgahı, delik işleme tezgahı"
boring mill,delik tezgahı
bottom board,faraş tahtası
brace,el matkabı
bracket,"konsol, çıkma, destekli raf, dirsek"
brass,pirinç
brazing,"sert lehim, pirinç kaynağı"
break corner,kırma ağız
brittle,"gevrek, kırılgan"
broaching,"broşlama, tığ çekme, boşaltma"
broaching machine,boşaltma tezgahı
broaching tools,"boşaltma kalemleri, boşaltma tığları"
bronze,"bronz, tunç"
buffing,perdahlama
built-up edge,yığma ağız
burnishing,çapak temizleme
burr,"çizik, kazıntı, torna taleminin bıraktığı iz, çapak"
bushing,burç
butterfly nut,kelebek somun
button,"kontrol düğmesi, düğme"
butt welding,"düz ek kaynağı, alın kaynağı"
